Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 08/17  12:00:00,0.615785075941,1.06087949069,0.0,0.842114112842,0.0225480032131,0.0225480032131,0.0225480032131,0.0784803647353,0.0171568962921,0.17110760444,0.30579220726
 08/17  13:00:00,0.60032501445,0.65205239,0.0,0.438075773903,0.0117296858073,0.0117296858073,0.0117296858073,0.0784803647353,0.0171568962921,0.155891737301,0.316366330315
 08/17  14:00:00,0.602161877194,0.209346219668,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.151644222687,0.334180393479
 08/17  15:00:00,0.64020142107,0.210596412351,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.17110760444,0.352756555603
 08/17  16:00:00,0.766296437706,0.216373399721,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.226732667701,0.41724918
 08/17  17:00:00,0.978172207484,0.225110536924,0.0,0.0,0.0,0.0,0.0,0.107910501605,0.0235907332925,0.319079902546,0.506891070041
 08/17  18:00:00,1.09667753369,0.230529003449,0.0,0.0,0.0,0.0,0.0,0.181485811428,0.0396753210423,0.274485690517,0.550330710699
 08/17  19:00:00,1.20940001986,0.236599342577,0.0,0.0,0.0,0.0,0.0,0.353161661669,0.077206025,0.190282821696,0.568049511493
 08/17  20:00:00,1.49521722324,0.24559215555,0.0,0.0,0.0,0.0,0.0,0.603317729756,0.131893641879,0.151727554294,0.587578297315
 08/17  21:00:00,1.67363620032,0.250482445896,0.0,0.0,0.0,0.0,0.0,0.774993579996,0.169424345836,0.134657758435,0.573860516055
 08/17  22:00:00,1.35502926553,0.818077507363,0.0,0.567911731486,0.0152061049103,0.0152061049103,0.0152061049103,0.578792670031,0.126532122923,0.117195633569,0.496602734096
 08/17  23:00:00,1.07151958137,1.18765959972,0.0,0.939872789319,0.0251655379601,0.0251655379601,0.0251655379601,0.402211889784,0.0879290866673,0.103974531478,0.431538535479
 08/17  24:00:00,0.7653281801,1.77032979458,0.0,1.52308193249,0.0407812382953,0.0407812382953,0.0407812382953,0.206010979818,0.0450368637538,0.0958509983557,0.356948099877
 08/18  01:00:00,0.644251343207,2.16891549255,0.0,1.92213001756,0.051465939296,0.051465939296,0.051465939296,0.122625515956,0.0268076422904,0.0939970696368,0.328655176027
 08/18  02:00:00,0.595994915722,2.55417424197,0.0,2.30612858387,0.0617476823222,0.0617476823222,0.0617476823222,0.0833853875468,0.0182292024588,0.0870879621612,0.324844681233
 08/18  03:00:00,0.609769441592,3.33268212755,0.0,3.0823276139,0.0825307780527,0.0825307780527,0.0825307780527,0.0833853875468,0.0182292024588,0.0846519860538,0.320272087479
 08/18  04:00:00,0.615002569207,3.83867693476,0.0,3.58590338699,0.0960142572827,0.0960142572827,0.0960142572827,0.0833853875468,0.0182292024588,0.0884999554121,0.308173766507
 08/18  05:00:00,0.670956952709,4.18606939691,0.0,3.92917541863,0.105205528103,0.105205528103,0.105205528103,0.0882904103584,0.0193015086256,0.0935623504171,0.343897155205
 08/18  06:00:00,0.816371452115,4.29925083085,0.0,4.0362868973,0.108073488547,0.108073488547,0.108073488547,0.142245650669,0.0310968764596,0.116916091742,0.397339344699
 08/18  07:00:00,1.03162172228,3.99263246876,0.0,3.72781893508,0.0998141131282,0.0998141131282,0.0998141131282,0.250156174256,0.0546876168788,0.14656099478,0.422202823233
 08/18  08:00:00,0.862154937543,3.69229770966,0.0,3.43440876999,0.0919579173414,0.0919579173414,0.0919579173414,0.196200912462,0.0428922466692,0.153455761193,0.356948099877
 08/18  09:00:00,0.682569718101,3.2673655446,0.0,3.01739846765,0.0807922694873,0.0807922694873,0.0807922694873,0.0981004559815,0.021446120959,0.15773917418,0.303791697493
 08/18  10:00:00,0.64117356062,2.75807584919,0.0,2.51494832635,0.0673389295803,0.0673389295803,0.0673389295803,0.0784803647353,0.0171568962921,0.14656099478,0.310936375233
 08/18  11:00:00,0.623074762775,1.69077721045,0.0,1.45677124432,0.0390057382922,0.0390057382922,0.0390057382922,0.0784803647353,0.0171568962921,0.156700125852,0.311031637603
 08/18  12:00:00,0.615107885447,1.03984492636,0.0,0.816822663881,0.0218708127187,0.0218708127187,0.0218708127187,0.0784803647353,0.0171568962921,0.17110760444,0.30579220726
 08/18  13:00:00,0.596191805857,0.497811189559,0.0,0.283710296178,0.00759647721401,0.00759647721401,0.00759647721401,0.0784803647353,0.0171568962921,0.155891737301,0.316366330315
 08/18  14:00:00,0.602161877194,0.213124040365,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.151644222687,0.334180393479
 08/18  15:00:00,0.64020142107,0.211135993821,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.17110760444,0.352756555603
 08/18  16:00:00,0.766296437706,0.214131217742,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.226732667701,0.41724918
 08/18  17:00:00,0.978172207484,0.220941010682,0.0,0.0,0.0,0.0,0.0,0.107910501605,0.0235907332925,0.319079902546,0.506891070041
 08/18  18:00:00,1.09667753369,0.226656318642,0.0,0.0,0.0,0.0,0.0,0.181485811428,0.0396753210423,0.274485690517,0.550330710699
 08/18  19:00:00,1.20940001986,0.233774152709,0.0,0.0,0.0,0.0,0.0,0.353161661669,0.077206025,0.190282821696,0.568049511493
 08/18  20:00:00,1.49521722324,0.244859554051,0.0,0.0,0.0,0.0,0.0,0.603317729756,0.131893641879,0.151727554294,0.587578297315
 08/18  21:00:00,1.67363620032,0.252627456099,0.0,0.0,0.0,0.0,0.0,0.774993579996,0.169424345836,0.134657758435,0.573860516055
 08/18  22:00:00,1.33982316062,0.250817592679,0.0,0.0,0.0,0.0,0.0,0.578792670031,0.126532122923,0.117195633569,0.496602734096
 08/18  23:00:00,1.05480368072,0.567152639999,0.0,0.315573790062,0.0084496373161,0.0084496373161,0.0084496373161,0.402211889784,0.0879290866673,0.103974531478,0.431538535479
 08/18  24:00:00,0.750660980852,1.22369792021,0.0,0.975297041498,0.0261140390478,0.0261140390478,0.0261140390478,0.206010979818,0.0450368637538,0.0958509983557,0.356948099877
 08/19  01:00:00,0.658118330137,1.77957288128,0.0,1.4485226257,0.0387848776318,0.0387848776318,0.0387848776318,0.122625515956,0.0268076422904,0.120545118231,0.328655176027
 08/19  02:00:00,0.60167297993,2.16944428749,0.0,1.85787935097,0.049745597344,0.049745597344,0.049745597344,0.0833853875468,0.0182292024588,0.104768111347,0.324844681233
 08/19  03:00:00,0.598926406333,2.64669413364,0.0,2.32671345917,0.0622988520835,0.0622988520835,0.0622988520835,0.0833853875468,0.0182292024588,0.0940408767647,0.320272087479
 08/19  04:00:00,0.609881236608,3.11998579898,0.0,2.73241614431,0.0731617331452,0.0731617331452,0.0731617331452,0.0833853875468,0.0182292024588,0.106231146951,0.308173766507
 08/19  05:00:00,0.677869417292,3.82050716523,0.0,3.13526693361,0.0839482533483,0.0839482533483,0.0839482533483,0.0882904103584,0.0193015086256,0.121732089755,0.343897155205
 08/19  06:00:00,0.881849655801,5.03654893085,0.0,3.79719435388,0.101671672742,0.101671672742,0.101671672742,0.142245650669,0.0310968764596,0.188796111233,0.397339344699
