Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/15  16:00:00,1.75117008536,1.59976100168,0.0,1.56562440715,0.0,0.0440488366787,0.0440488366787,0.0440488366787,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.461472534019
 01/15  17:00:00,2.20797637428,2.57796307337,0.0,2.53758546493,0.0,0.0713958847266,0.0713958847266,0.0713958847266,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.526511813705
 01/15  18:00:00,3.05741798493,3.69531958823,0.0,3.64626724702,0.0,0.102603843397,0.102603843397,0.102603843397,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.655993520051
 01/15  19:00:00,3.69213136002,3.3550913838,0.0,3.30183534637,0.0,0.0929199384427,0.0929199384427,0.0929199384427,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.783936613552
 01/15  20:00:00,3.73508253218,4.42058086129,0.0,4.36561015829,0.0,0.122862355439,0.122862355439,0.122862355439,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.810902734965
 01/15  21:00:00,3.45528531535,5.25467311898,0.0,5.19781259641,0.0,0.14628994176,0.14628994176,0.14628994176,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.741256272744
 01/15  22:00:00,3.1361752276,6.2564873604,0.0,6.20095432085,0.0,0.17452213082,0.17452213082,0.17452213082,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.64815785502
 01/15  23:00:00,2.56219332806,7.15281553515,0.0,7.1047588062,0.0,0.199953348181,0.199953348181,0.199953348181,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.505948415229
 01/15  24:00:00,1.97657429645,8.11155872181,0.0,8.06979831856,0.0,0.227106308045,0.227106308045,0.227106308045,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.347698849736
 01/16  01:00:00,1.35619262697,8.77724385671,0.0,8.74270164237,0.0,0.246027112558,0.246027112558,0.246027112558,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.167848967406
 01/16  02:00:00,1.10919722524,8.86126074033,0.0,8.82945645971,0.0,0.248450899178,0.248450899178,0.248450899178,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.101446870565
 01/16  03:00:00,1.02832455076,9.14807854904,0.0,9.1166430137,0.0,0.256509429207,0.256509429207,0.256509429207,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0833945466188
 01/16  04:00:00,1.03432107951,9.71274843723,0.0,9.68175539623,0.0,0.27238044447,0.27238044447,0.27238044447,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0886316589629
 01/16  05:00:00,1.08622268007,9.84457763229,0.0,9.81475535757,0.0,0.276110609138,0.276110609138,0.276110609138,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.14168058423
 01/16  06:00:00,1.37387269983,9.50755328233,0.0,9.47427402058,0.0,0.266512987843,0.266512987843,0.266512987843,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.373847994011
 01/16  07:00:00,2.12120392598,9.9119456979,0.0,9.87349478356,0.0,0.277722468067,0.277722468067,0.277722468067,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.807250482452
 01/16  08:00:00,2.67307195329,8.67178300292,0.0,8.63092602561,0.0,0.242755615308,0.242755615308,0.242755615308,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.926709523198
 01/16  09:00:00,2.49960614542,6.53876814987,0.0,6.50422593552,0.0,0.182896991431,0.182896991431,0.182896991431,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.895634521128
 01/16  10:00:00,2.07689510875,4.88256793046,0.0,4.85316971281,0.0,0.136431640289,0.136431640289,0.136431640289,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.800550598398
 01/16  11:00:00,1.92689414753,4.40854664478,0.0,4.37845702972,0.0,0.123053334581,0.123053334581,0.123053334581,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.687719656317
 01/16  12:00:00,1.84495814945,4.40459043599,0.0,4.3744916023,0.0,0.122928207332,0.122928207332,0.122928207332,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.586820692413
 01/16  13:00:00,1.73157750503,3.78966980566,0.0,3.76007799674,0.0,0.105657442695,0.105657442695,0.105657442695,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.508158410359
 01/16  14:00:00,1.65773912748,3.70772746314,0.0,3.67711238605,0.0,0.103316952881,0.103316952881,0.103316952881,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.461498764228
 01/16  15:00:00,1.61438115114,3.53180580908,0.0,3.4994668478,0.0,0.0983097672494,0.0983097672494,0.0983097672494,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.415117041529
 01/16  16:00:00,1.7247377683,3.6393842128,0.0,3.60524761826,0.0,0.101265564918,0.101265564918,0.101265564918,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.421058956908
 01/16  17:00:00,2.1524076827,3.85870946255,0.0,3.81833185411,0.0,0.107237644481,0.107237644481,0.107237644481,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.477005601342
 01/16  18:00:00,2.98145794883,4.58303910208,0.0,4.53398676087,0.0,0.127342065249,0.127342065249,0.127342065249,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.59653918054
 01/16  19:00:00,3.61452819868,4.7687372706,0.0,4.71548123316,0.0,0.132453287682,0.132453287682,0.132453287682,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.706828804288
 01/16  20:00:00,3.63960698356,5.52443364114,0.0,5.46946293815,0.0,0.153645391654,0.153645391654,0.153645391654,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.724596363216
 01/16  21:00:00,3.33544169964,5.37139766765,0.0,5.31453714508,0.0,0.149299483021,0.149299483021,0.149299483021,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.659067714348
