Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 03/01  16:00:00,0.363335242787,0.519930180626,0.0,0.0,0.0,0.0,0.0,0.0,0.0239011343593,0.00399191067207,0.0658950331489,0.259725164606
 03/01  17:00:00,0.435031217245,0.633731365623,0.0,0.0,0.0,0.0,0.0,0.0,0.0366484085077,0.00612092874655,0.0752305305505,0.30720934944
 03/01  18:00:00,0.562234331371,0.917898630695,0.0,0.0727466749474,0.0,0.00143579438471,0.00143579438471,0.00143579438471,0.0732968170155,0.0122418574931,0.0922276002925,0.373210262185
 03/01  19:00:00,0.704348823776,0.863211095505,0.0,0.0,0.0,0.0,0.0,0.0,0.141813397554,0.0236853358819,0.0938343890347,0.405193701305
 03/01  20:00:00,0.761249901993,0.765054618888,0.0,0.0,0.0,0.0,0.0,0.0,0.211923381358,0.0353949406388,0.0858700022084,0.418239577788
 03/01  21:00:00,0.784880653576,0.671025349418,0.0,0.0,0.0,0.0,0.0,0.0,0.227857467374,0.0380562132319,0.0765268754022,0.432618097568
 03/01  22:00:00,0.725161605969,0.592688625305,0.0,0.0,0.0,0.0,0.0,0.0,0.191209085546,0.0319352844854,0.0696771717763,0.422518064161
 03/01  23:00:00,0.603972923337,0.483462693642,0.0,0.0,0.0,0.0,0.0,0.0,0.14340680082,0.02395146225,0.0611574231373,0.36563523713
 03/01  24:00:00,0.498526319121,0.372128891696,0.0,0.0,0.0,0.0,0.0,0.0,0.10038475257,0.016766023575,0.0538233254044,0.317730217572
 03/02  01:00:00,0.381408491428,0.287044728021,0.0,0.0342897642997,0.0,0.000676773901629,0.000676773901629,0.000676773901629,0.0509890912577,0.00851607497155,0.0485932653724,0.262811285925
 03/02  02:00:00,0.336189875658,0.348819658798,0.0,0.148265981562,0.0,0.0029263119438,0.0029263119438,0.0029263119438,0.0302747687655,0.00505641881809,0.046130409106,0.241979967025
 03/02  03:00:00,0.322148956025,0.434152675994,0.0,0.252315082072,0.0,0.00497991940222,0.00497991940222,0.00497991940222,0.0207143171562,0.00345965570785,0.0439986615688,0.23917440219
 03/02  04:00:00,0.319762608301,0.565708896114,0.0,0.379428914299,0.0,0.00748875333397,0.00748875333397,0.00748875333397,0.0207143171562,0.00345965570785,0.0424701577151,0.235807724388
 03/02  05:00:00,0.312535148111,0.683524720028,0.0,0.450398137005,0.0,0.00888946630845,0.00888946630845,0.00888946630845,0.0207143171562,0.00345965570785,0.0427496529025,0.226900056036
 03/02  06:00:00,0.342674355172,0.875413490846,0.0,0.448896679744,0.0,0.00885983218558,0.00885983218558,0.00885983218558,0.0223077257577,0.00372578341276,0.0447567874514,0.253202226365
 03/02  07:00:00,0.401671897196,1.15546865113,0.0,0.356402597227,0.0,0.00703428504691,0.00703428504691,0.00703428504691,0.0350550052423,0.00585480237845,0.0513555313521,0.292550273177
 03/02  08:00:00,0.482065830757,1.5979127761,0.0,0.6864626413,0.0,0.0135486495624,0.0135486495624,0.0135486495624,0.0621429407964,0.0103789684604,0.0603166882117,0.310856583726
 03/02  09:00:00,0.407075139286,1.30922370174,0.0,0.4425676144,0.0,0.00873491600915,0.00873491600915,0.00873491600915,0.0493956879923,0.00824994860345,0.0680613007556,0.262811285925
 03/02  10:00:00,0.342417564275,1.18744176931,0.0,0.407297591255,0.0,0.00803879482951,0.00803879482951,0.00803879482951,0.0254945429608,0.00425803793138,0.071130532077,0.223673656476
 03/02  11:00:00,0.337820668706,1.07989731462,0.0,0.398647775622,0.0,0.00786807421961,0.00786807421961,0.00786807421961,0.0207143171562,0.00345965570785,0.0670225310811,0.228934090542
 03/02  12:00:00,0.337508518761,1.03924618381,0.0,0.418554249047,0.0,0.00826096644161,0.00826096644161,0.00826096644161,0.0207143171562,0.00345965570785,0.0662473497925,0.229004229662
 03/02  13:00:00,0.335514416578,0.996352655117,0.0,0.42005519672,0.0,0.0082905905068,0.0082905905068,0.0082905905068,0.0207143171562,0.00345965570785,0.0680812751934,0.225146578014
 03/02  14:00:00,0.340959077573,0.906803599461,0.0,0.38453227886,0.0,0.00758947796759,0.00758947796759,0.00758947796759,0.0207143171562,0.00345965570785,0.0664416063097,0.232932020432
 03/02  15:00:00,0.347111084422,0.668130941158,0.0,0.179737774045,0.0,0.00354746779672,0.00354746779672,0.00354746779672,0.0207143171562,0.00345965570785,0.0635196077253,0.246048036036
 03/02  16:00:00,0.368343539626,0.774836383776,0.0,0.253752867479,0.0,0.00500829683961,0.00500829683961,0.00500829683961,0.0239011343593,0.00399191067207,0.0658950331489,0.259725164606
 03/02  17:00:00,0.437210030771,0.745508446306,0.0,0.110392853642,0.0,0.00217881352633,0.00217881352633,0.00217881352633,0.0366484085077,0.00612092874655,0.0752305305505,0.30720934944
 03/02  18:00:00,0.572317362483,1.42853024369,0.0,0.583618562067,0.0,0.0115188254973,0.0115188254973,0.0115188254973,0.0732968170155,0.0122418574931,0.0922276002925,0.373210262185
 03/02  19:00:00,0.705528666673,0.924486194196,0.0,0.0597785091239,0.0,0.00117984289713,0.00117984289713,0.00117984289713,0.141813397554,0.0236853358819,0.0938343890347,0.405193701305
 03/02  20:00:00,0.762169181946,0.813769459257,0.0,0.0465766969438,0.0,0.000919279953053,0.000919279953053,0.000919279953053,0.211923381358,0.0353949406388,0.0858700022084,0.418239577788
 03/02  21:00:00,0.786892157868,0.775174121681,0.0,0.101915880508,0.0,0.00201150429284,0.00201150429284,0.00201150429284,0.227857467374,0.0380562132319,0.0765268754022,0.432618097568
 03/02  22:00:00,0.728300568862,0.753855671174,0.0,0.159040260675,0.0,0.0031389628926,0.0031389628926,0.0031389628926,0.191209085546,0.0319352844854,0.0696771717763,0.422518064161
 03/02  23:00:00,0.610144576869,0.797792019056,0.0,0.312696078325,0.0,0.00617165353201,0.00617165353201,0.00617165353201,0.14340680082,0.02395146225,0.0611574231373,0.36563523713
 03/02  24:00:00,0.508817921866,0.894866483761,0.0,0.521439481584,0.0,0.0102916027456,0.0102916027456,0.0102916027456,0.10038475257,0.016766023575,0.0538233254044,0.317730217572
 03/03  01:00:00,0.394340344903,0.942203858374,0.0,0.689501507174,0.0,0.0136086273767,0.0136086273767,0.0136086273767,0.0509890912577,0.00851607497155,0.0485932653724,0.262811285925
 03/03  02:00:00,0.349757474238,1.03621304727,0.0,0.835688703221,0.0,0.0164939105233,0.0164939105233,0.0164939105233,0.0302747687655,0.00505641881809,0.046130409106,0.241979967025
 03/03  03:00:00,0.335479687102,1.10950395361,0.0,0.927736556632,0.0,0.0183106504795,0.0183106504795,0.0183106504795,0.0207143171562,0.00345965570785,0.0439986615688,0.23917440219
 03/03  04:00:00,0.331164467789,1.14332084545,0.0,0.957121218159,0.0,0.018890612822,0.018890612822,0.018890612822,0.0207143171562,0.00345965570785,0.0424701577151,0.235807724388
 03/03  05:00:00,0.323250703136,1.22627855211,0.0,0.993317796392,0.0,0.0196050213336,0.0196050213336,0.0196050213336,0.0207143171562,0.00345965570785,0.0427496529025,0.226900056036
 03/03  06:00:00,0.353764260646,1.43675065085,0.0,1.0107833658,0.0,0.0199497376592,0.0199497376592,0.0199497376592,0.0223077257577,0.00372578341276,0.0447567874514,0.253202226365
 03/03  07:00:00,0.412066615426,1.6808698149,0.0,0.88306657939,0.0,0.0174290032765,0.0174290032765,0.0174290032765,0.0350550052423,0.00585480237845,0.0513555313521,0.292550273177
 03/03  08:00:00,0.494051051425,2.20373405177,0.0,1.29371181393,0.0,0.0255338702314,0.0255338702314,0.0255338702314,0.0621429407964,0.0103789684604,0.0603166882117,0.310856583726
 03/03  09:00:00,0.416252538573,1.772882526,0.0,0.90755430744,0.0,0.0179123152967,0.0179123152967,0.0179123152967,0.0493956879923,0.00824994860345,0.0680613007556,0.262811285925
 03/03  10:00:00,0.348467808266,1.49283957103,0.0,0.713842273207,0.0,0.0140890388211,0.0140890388211,0.0140890388211,0.0254945429608,0.00425803793138,0.071130532077,0.223673656476
 03/03  11:00:00,0.341285678324,1.25449310459,0.0,0.574207682401,0.0,0.0113330838371,0.0113330838371,0.0113330838371,0.0207143171562,0.00345965570785,0.0670225310811,0.228934090542
 03/03  12:00:00,0.338037210782,1.06522296877,0.0,0.445341222906,0.0,0.00878965846332,0.00878965846332,0.00878965846332,0.0207143171562,0.00345965570785,0.0662473497925,0.229004229662
 03/03  13:00:00,0.333117082541,0.87419765821,0.0,0.298590673771,0.0,0.00589325646894,0.00589325646894,0.00589325646894,0.0207143171562,0.00345965570785,0.0680812751934,0.225146578014
 03/03  14:00:00,0.337900163755,0.751202914056,0.0,0.229547824585,0.0,0.00453056415018,0.00453056415018,0.00453056415018,0.0207143171562,0.00345965570785,0.0664416063097,0.232932020432
