Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 11/21  15:00:00,1.03211134815,0.729649799765,0.0,0.0,0.0,0.0,0.0,0.0,0.197367690954,0.044974641125,0.362691423146,0.403677592921
 11/21  16:00:00,1.16857433161,0.738553827407,0.0,0.0,0.0,0.0,0.0,0.0,0.280469821234,0.063911332125,0.374676266453,0.426116911797
 11/21  17:00:00,1.58697418726,0.81706714925,0.0,0.0,0.0,0.0,0.0,0.0,0.509000679504,0.115987232375,0.434564651377,0.504021624
 11/21  18:00:00,2.30979559995,1.63391919314,0.0,0.653562682023,0.0,0.0220888723138,0.0220888723138,0.0220888723138,0.90373593237,0.205936484082,0.542328589423,0.612305721759
 11/21  19:00:00,2.79889750964,3.30986115843,0.0,2.18295936662,0.0,0.0737550437926,0.0737550437926,0.0737550437926,1.23614458753,0.281683278625,0.489135393799,0.664779205901
 11/21  20:00:00,2.71114223383,3.84578873006,0.0,2.69471189242,0.0,0.0910489677279,0.0910489677279,0.0910489677279,1.23614458753,0.281683278625,0.392682536045,0.686182863907
 11/21  21:00:00,2.61772592134,5.06668378054,0.0,4.00031669559,0.0,0.135179854374,0.135179854374,0.135179854374,1.14265468846,0.26037950125,0.346338960163,0.709772917085
 11/21  22:00:00,2.4207789001,6.65125665304,0.0,5.69119475777,0.0,0.192351611611,0.192351611611,0.192351611611,0.966062661619,0.220139032875,0.325623250854,0.693202343145
 11/21  23:00:00,1.96370592738,6.60892870845,0.0,5.82283700864,0.0,0.196813607022,0.196813607022,0.196813607022,0.71675613924,0.163328959875,0.263529429942,0.599877791304
 11/21  24:00:00,1.57505510879,7.63121007296,0.0,7.03178475034,0.0,0.237660908853,0.237660908853,0.237660908853,0.498612913219,0.113620146,0.180478502199,0.521282638521
 11/22  01:00:00,1.15072504937,7.95546306178,0.0,7.55382016808,0.0,0.25530055278,0.25530055278,0.25530055278,0.259694288664,0.059177159375,0.121972905831,0.431180142723
 11/22  02:00:00,0.961080942108,7.54312371761,0.0,7.23054947284,0.0,0.244329113412,0.244329113412,0.244329113412,0.155816494275,0.035506295625,0.105025704823,0.397003333973
 11/22  03:00:00,0.895938125892,8.0591574022,0.0,7.77077178605,0.0,0.262563522137,0.262563522137,0.262563522137,0.103877702561,0.0236708606957,0.0900256437303,0.392400396767
 11/22  04:00:00,0.885027454608,8.16985873916,0.0,7.87485070601,0.0,0.266071207662,0.266071207662,0.266071207662,0.103877702561,0.0236708606957,0.0811308115684,0.386876872121
